"Teams Name","Team Type","Mail Nick Name","Description","Archived Status","Channel Count","Team Members Count","Team Owners Count"
"Training Team","Private","TrainingTeam","This is a private team for the training depaartment","False","4","1","0"
"Service Desk Management","Private","ServiceDeskManagement","Service Desk Management","False","1","2","2"
"IT Dept Meeting Team","Private","ITDeptMeetingTeam","Test area for IT Dept Meeting","False","1","2","0"
"IT Service Desk","Private","ITServiceDesk157","IT Service Desk","False","1","1","1"
"HR/Payroll Project","Private","HRPayrollProject","HR/Payroll Project","False","1","0","0"
"Swordfish","Private","Swordfish","The Marcomms team: all in the same direction.","False","2","5","3"
"HR & Payroll Project","Private","HRPayrollProject993","HR & Payroll Project","False","1","0","0"
"Applications Support","Private","ApplicationsSupport","Applications Support","False","1","3","1"
"Efile Review 19.20","Private","DocumentManagementReview","Nhttps://eu.netdocuments.com/neWeb2/workspace/:EU4:c:k:s:n:%5EW190625114407990.nev/docs/summary","False","1","5","1"
"IT Service Desk","Private","ITServiceDesk","IT Service Desk","False","2","8","2"
"CRM crew","Private","CRMcrew","CRM crew","False","1","3","1"
"Security Test","Private","SecurityTest","Security Test","False","1","0","0"
"Apps Team","Private","AppsTeam","Apps Team","False","3","6","5"
"IT Management Team","Private","ITManagementTeam","IT Management Team","False","1","4","2"
"CT catch up","Private","CTcatchup","CT catch up","False","1","2","1"
"Scherbakov companies","Private","Scherbakovcompanies","Scherbakov companies","False","1","4","1"
"Aderant Expert Billing","Private","AderantExpertBilling","Aderant Expert Billing","False","1","1","1"
"PM FTC","Private","PMFTC","PM FTC","False","1","2","1"
"Coffee","Private","Coffee","Coffee","False","1","1","1"
"Entrepreneurs Week","Private","EntrepreneursWeek","Collateral for EWeek from the Marcomms team","False","1","2","1"
"Accounts","Private","Accounts","Accounts","False","1","10","1"
"Information Security","Private","InformationSecurity","Information Security","False","2","5","0"
"Z Trusts","Private","ZTrusts","Z Trusts","False","1","1","1"
"SMF","Private","SMF","SMF","False","1","2","1"
"Applications","Private","Applications","Applications","False","1","3","1"
"Software Releases","Private","Projects","Projects","False","1","11","2"
"Information Technology","Private","InformationTechnology","Information Technology","False","3","23","2"
"SDW","Private","SDW","SDW","False","1","3","1"
